krunker_profile,kr_amount,change_summary,kr_sent_datetime,pull_request,Verification,total_kr_sent
https://krunker.io/social.html?p=profile&q=Chwoubaka,33000,New language ~ Krunker into French language (66%),Sent 2021-04-11 18:17 AEST,N/A (pre-github),,553800
https://krunker.io/social.html?p=profile&q=Atzelord,17000,New language ~ Krunker into French language (33%),Sent 2021-04-11 18:18 AEST,N/A (pre-github),,
https://krunker.io/social.html?p=profile&q=YuniQ,500,Minor to existing translations ~ Japanese,Sent 2021-04-11 18:19 AEST,https://github.com/mty22/krunker.io-translations/pull/3,,
https://krunker.io/social.html?p=profile&q=Hiro527,500,Minor to existing translations ~ Korean,Sent 2021-04-11 18:19 AEST,https://github.com/mty22/krunker.io-translations/pull/6,,
https://krunker.io/social.html?p=profile&q=YuniQ,5000,General changes ~ translation of new content ~ Korean,Sent 2021-04-11 18:20 AEST,https://github.com/mty22/krunker.io-translations/pull/11,,
https://krunker.io/social.html?p=profile&q=xlNightmare,5000,General changes ~ translation of new content ~ Spanish,Sent 2021-04-11 18:20 AEST,https://github.com/mty22/krunker.io-translations/pull/12,,
https://krunker.io/social.html?p=profile&q=bodeneinheit,30000,Major changes to German translations (90%),Sent 2021-04-11 18:20 AEST,https://github.com/mty22/krunker.io-translations/pull/13,,
https://krunker.io/social.html?p=profile&q=zzzrobinzzz,3500,Major changes to German translations (10%) ~ note: Fuderal,Sent 2021-04-11 18:24 AEST,https://github.com/mty22/krunker.io-translations/pull/13,,
https://krunker.io/social.html?p=profile&q=Jypa,45000,New language ~ Krunker into Finnish language (90%),Sent 2021-04-11 18:21 AEST,https://github.com/mty22/krunker.io-translations/pull/14,,
https://krunker.io/social.html?p=profile&q=Entasy,5000,New language ~ Krunker into Finnish language (10%),Sent 2021-04-11 18:21 AEST,https://github.com/mty22/krunker.io-translations/pull/14,,
https://krunker.io/social.html?p=profile&q=Hiro527,4000,Minor to existing translations ~ Japanese,Sent 2021-04-21 21:31 AEST,https://github.com/mty22/krunker.io-translations/pull/34,,
https://krunker.io/social.html?p=profile&q=Semliot,12500,New language ~ Krunker into Dutch language (25%),Sent 2021-04-21 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/88,,
https://krunker.io/social.html?p=profile&q=NickAuthentic,12500,New language ~ Krunker into Dutch language (25%),Sent 2021-04-21 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/88,,
https://krunker.io/social.html?p=profile&q=Gluzly ,12500,New language ~ Krunker into Dutch language (25%),Sent 2021-04-21 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/88,Done,
https://krunker.io/social.html?p=profile&q=AdoreMe,12500,New language ~ Krunker into Dutch language (25%),Sent 2021-04-21 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/88,,
https://krunker.io/social.html?p=profile&q=pamglint,40000,New language ~ Krunker into Polish language (80%),Sent 2021-05-04 21:23 AEST,https://github.com/mty22/krunker.io-translations/pull/24,,
https://krunker.io/social.html?p=profile&q=xhg4,10000,New language ~ Krunker into Polish language (20%),Sent 2021-04-28 21:21 AEST,https://github.com/mty22/krunker.io-translations/pull/24,,
https://krunker.io/social.html?p=profile&q=tr0922,2400,Minor to existing translations ~ Korean (60%),Sent 2021-04-25 21:10 AEST,https://github.com/mty22/krunker.io-translations/pull/95,,
https://krunker.io/social.html?p=profile&q=zVaderX ,800,Minor to existing translations ~ Korean (20%),Sent 2021-04-25 21:10 AEST,https://github.com/mty22/krunker.io-translations/pull/95,,
https://krunker.io/social.html?p=profile&q=GoonMandu,800,Minor to existing translations ~ Korean (20%),Sent 2021-04-25 21:10 AEST,https://github.com/mty22/krunker.io-translations/pull/95,,
https://krunker.io/social.html?p=profile&q=Sonicglass,3500,Minor to existing translations ~ Spanish,Sent 2021-04-25 21:11 AEST,https://github.com/mty22/krunker.io-translations/pull/77,,
https://krunker.io/social.html?p=profile&q=enygmate,5000,General changes ~ updates to French language,Sent 2021-04-25 21:11 AEST,https://github.com/mty22/krunker.io-translations/pull/102,,
https://krunker.io/social.html?p=profile&q=CrackZ,4000,Minor to existing translations ~ German,Sent 2021-04-25 21:12 AEST,https://github.com/mty22/krunker.io-translations/pull/73,,
https://krunker.io/social.html?p=profile&q=bodeneinheit,3000,Minor to existing translations ~ German,Sent 2021-04-25 21:12 AEST,https://github.com/mty22/krunker.io-translations/pull/132,,
https://krunker.io/social.html?p=profile&q=BawAppie,3000,Minor to existing translations ~ Korean,Sent 2021-04-28 21:23 AEST,https://github.com/mty22/krunker.io-translations/pull/130,,
https://krunker.io/social.html?p=profile&q=F3L!X,2500,Minor to existing translations ~ German,Sent 2021-04-28 21:23 AEST,https://github.com/mty22/krunker.io-translations/pull/153,,
https://krunker.io/social.html?p=profile&q=Hiro527,3000,Minor to existing translations ~ Japanese,Sent 2021-04-28 21:24 AEST,https://github.com/mty22/krunker.io-translations/pull/131,,
https://krunker.io/social.html?p=profile&q=CorruptSausage,2500,Minor to existing translations ~ Dutch,Sent 2021-04-28 21:24 AEST,https://github.com/mty22/krunker.io-translations/pull/156,,
https://krunker.io/social.html?p=profile&q=xlNightmare,2500,Minor to existing translations ~ Spanish,Sent 2021-04-28 21:24 AEST,https://github.com/mty22/krunker.io-translations/pull/158,,
https://krunker.io/social.html?p=profile&q=enygmate,2500,Minor to existing translations ~ French,Sent 2021-04-28 21:25 AEST,https://github.com/mty22/krunker.io-translations/pull/159,,
https://krunker.io/social.html?p=profile&q=zeude,10000,New language ~ Krunker into Hindi language (20%),Sent 2021-05-04 21:23 AEST,https://github.com/mty22/krunker.io-translations/pull/17,Done,
https://krunker.io/social.html?p=profile&q=HistoriFy,10000,New language ~ Krunker into Hindi language (20%),Sent 2021-05-04 21:24 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=TheDevKeval,7500,New language ~ Krunker into Hindi language (15%),Sent 2021-05-04 21:24 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=slogllykop,7500,New language ~ Krunker into Hindi language (15%),Sent 2021-05-04 21:25 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=BitES,2500,New language ~ Krunker into Hindi language (5%),Sent 2021-05-04 21:25 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=milethebot,5000,New language ~ Krunker into Hindi language (10%),Sent 2021-05-04 21:26 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=le_hem,7500,New language ~ Krunker into Hindi language (15%),Sent 2021-05-04 21:35 AEST,https://github.com/mty22/krunker.io-translations/pull/17,,
https://krunker.io/social.html?p=profile&q=JeloW-GoKu,1000,Minor to existing translations ~ Spanish,Sent 2021-05-04 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/164,,
https://krunker.io/social.html?p=profile&q=enygmate,500,Minor to existing translations ~ French,Sent 2021-05-04 21:32 AEST,https://github.com/mty22/krunker.io-translations/pull/162,,
https://krunker.io/social.html?p=profile&q=GV_EthanW,12000,General changes ~ updates to Simplified Chinese language (80%),Sent 2021-05-04 21:33 AEST,https://github.com/mty22/krunker.io-translations/pull/104,,
https://krunker.io/social.html?p=profile&q=WpyGG,1500,General changes ~ updates to Simplified Chinese language (10%),Sent 2021-05-04 21:33 AEST,https://github.com/mty22/krunker.io-translations/pull/104,,
https://krunker.io/social.html?p=profile&q=Awesome_Boy,1500,General changes ~ updates to Simplified Chinese language (10%),Sent 2021-05-04 21:34 AEST,https://github.com/mty22/krunker.io-translations/pull/104,,
https://krunker.io/social.html?p=profile&q=GoonMandu,500,Minor to existing translations ~ Korean,Sent 2021-05-04 21:34 AEST,https://github.com/mty22/krunker.io-translations/pull/168,,
https://krunker.io/social.html?p=profile&q=coeg%E2%A0%80%E2%A0%80,20000,New language ~ Krunker into Russian (40%),Sent 2021-05-09 17:03 AEST,https://github.com/mty22/krunker.io-translations/pull/79,Done,
https://krunker.io/social.html?p=profile&q=Yurikan4ik ,15000,New language ~ Krunker into Russian (30%),Sent 2021-05-09 17:03 AEST,https://github.com/mty22/krunker.io-translations/pull/79,,
https://krunker.io/social.html?p=profile&q=%D0%9F%D0%B8%D0%BD%D0%B3%D0%B2%D0%B8%D0%BD,15000,New language ~ Krunker into Russian (30%),Sent 2021-05-09 17:03 AEST,https://github.com/mty22/krunker.io-translations/pull/79,,
https://krunker.io/social.html?p=profile&q=ligmabots,1000,New language ~ Krunker into Russian (reviewer/bonus offer),Sent 2021-05-16 14:48 AEST,https://github.com/mty22/krunker.io-translations/pull/79,,
https://krunker.io/social.html?p=profile&q=ZalfredomZ,40500,Major changes ~ Portuguese language (90%),Sent 2021-05-16 14:48 AEST,https://github.com/mty22/krunker.io-translations/pull/142,,
https://krunker.io/social.html?p=profile&q=CRAZYGIRLS22,4500,Major changes ~ Portuguese language (10%),Sent 2021-05-16 14:48 AEST,https://github.com/mty22/krunker.io-translations/pull/142,,
https://krunker.io/social.html?p=profile&q=WpyGG,4000,Minor to existing translations ~ Simplified Chinese,Sent 2021-05-16 14:49 AEST,https://github.com/mty22/krunker.io-translations/pull/165,,
https://krunker.io/social.html?p=profile&q=Awesome_Boy,500,Minor to existing translations ~ Simplified Chinese (Reviewing),Sent 2021-05-16 14:49 AEST,https://github.com/mty22/krunker.io-translations/pull/165,,
https://krunker.io/social.html?p=profile&q=YuniQ,500,Minor to existing translations ~ Korean,Sent 2021-05-16 14:49 AEST,https://github.com/mty22/krunker.io-translations/pull/172,,
https://krunker.io/social.html?p=profile&q=tr0922,1000,Minor to existing translations ~ Korean,Sent 2021-05-16 14:49 AEST,https://github.com/mty22/krunker.io-translations/pull/177,,
https://krunker.io/social.html?p=profile&q=Hiro527,1000,Minor to existing translations ~ Japanese,Sent 2021-05-16 14:50 AEST,https://github.com/mty22/krunker.io-translations/pull/181,,
https://krunker.io/social.html?p=profile&q=BawAppie,500,Minor to existing translations ~ Korean,Sent 2021-05-16 14:50 AEST,https://github.com/mty22/krunker.io-translations/pull/183,,
https://krunker.io/social.html?p=profile&q=enygmate,1000,Minor to existing translations ~ French,Sent 2021-05-16 14:51 AEST,https://github.com/mty22/krunker.io-translations/pull/182,,
https://krunker.io/social.html?p=profile&q=xlNightmare,1000,Minor to existing translations ~ Spanish,Sent 2021-05-16 14:51 AEST,https://github.com/mty22/krunker.io-translations/pull/184,,
https://krunker.io/social.html?p=profile&q=enygmate,300,Minor to existing translations ~ French,Sent 2021-05-30 14:38 AEST,https://github.com/mty22/krunker.io-translations/pull/195,,
https://krunker.io/social.html?p=profile&q=Rupture_,500,Minor to existing translations ~ Hindi,Sent 2021-06-08 15:09 AEST,https://github.com/mty22/krunker.io-translations/pull/180,,
https://krunker.io/social.html?p=profile&q=HooD_ii,500,Minor to existing translations ~ Hindi,Sent 2021-06-08 15:09 AEST,https://github.com/mty22/krunker.io-translations/pull/180,,
https://krunker.io/social.html?p=profile&q=MrGira,35000,New language ~ Krunker into Italian (70%),Sent 2021-05-30 15:14 AEST,https://github.com/mty22/krunker.io-translations/pull/173,Pending,
https://krunker.io/social.html?p=profile&q=Hiroo%2E,15000,New language ~ Krunker into Italian (30%),Sent 2021-05-30 15:15 AEST,https://github.com/mty22/krunker.io-translations/pull/173,,
https://krunker.io/social.html?p=profile&q=colpiffero,1000,"New language ~ Krunker into Italian (reviewer, bonus KR)",Sent 2021-05-30 15:14 AEST,https://github.com/mty22/krunker.io-translations/pull/173,,
GitHub Therealzz (pending: https://github.com/mty22/krunker.io-translations/pull/138#issuecomment-855248143),0,New Language ~ Traditional Chinese (10%) - 5000 KR pending (no response?),PENDING,https://github.com/mty22/krunker.io-translations/pull/138,,
https://krunker.io/social.html?p=profile&q=WpyGG,20000,New Language ~ Traditional Chinese (40%),Sent 2021-06-08 15:10 AEST,https://github.com/mty22/krunker.io-translations/pull/138,,
https://krunker.io/social.html?p=profile&q=Awesome_Boy,25000,New Language ~ Traditional Chinese (50%),Sent 2021-06-08 15:10 AEST,https://github.com/mty22/krunker.io-translations/pull/138,,
https://krunker.io/social.html?p=profile&q=POG_AWM,1000,Minor to existing translations ~ Hindi,PENDING,https://github.com/mty22/krunker.io-translations/pull/198,,
https://krunker.io/social.html?p=profile&q=iNotT,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=daje1097,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=Jourdanais,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=StarRayX,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=-Navsy-17,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=TommyRomero,0,New language ~ Tagalog (pending work breakdowns),PENDING,https://github.com/mty22/krunker.io-translations/pull/170,,
https://krunker.io/social.html?p=profile&q=xlNightmare,750,Minor to existing translations ~ Portuguese,PENDING,https://github.com/mty22/krunker.io-translations/pull/201,,
https://krunker.io/social.html?p=profile&q=xhg4,750,Minor to existing translations ~ Polish,PENDING,https://github.com/mty22/krunker.io-translations/pull/178,,
